Chemical,Cell line,CMap dose,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
8-azaguanine,PC3,0.0000262,0.05017,0.00001285,0.00003148,0.00001906,0.000006645,0.00007494,0.000006645,0.0001432,0.000006645,0.004781,0.000006645,0.00007494,0.0004723,0.00001906,0.1357,0.00002527,0.00002527,0.0001246,0.000106,0.000006645,0.0002426,0.000006645,0.000006645,0.00001285,0.00001906,0.000006645,0.01087,0.0000439,0.0000439,0.0004351,0.1355,0.000106,0.000006645,0.005446,0.000006645,0.00005011,0.00003769,0.0001991,0.00001285,0.00002527,0.00001285,0.00006873,0.000006645,0.00001906,0.0002053,0.00003769,0.1111,0.0004723,0.02888,0.00001906,0.00002527,0.00009978,0.000006645,0.00003148,0.00002527,0.003161,0.08486,0.000006645,0.002434,0.000006645,0.00005632,0.00001285,0.00001285,0.02332,0.00001906,0.000006645,0.0001308,0.00005011,0.00003148,0.0001805,0.000006645,0.000006645,0.000006645,0.000006645,0.00003769,0.00001906,0.00001285,0.0008511,0.000006645,0.02805,0.00001285,0.00002527,0.09667,0.000006645,0.0146,0.000006645,0.0007021,0.000006645,0.00001285,0.01536,0.000006645,0.01598,0.1336,0.000006645,0.00001285,0.01674,0.005849,0.07098,0.0001991,0.00001285
8-azaguanine,HL60,0.0000262,0.0000804,0.01122,0.00004495,0.0004084,0.00002722,0.00914,0.00004495,0.00005381,0.00003608,0.0243,0.000009487,0.008919,0.2501,0.000009487,0.000009487,0.00002722,0.000009487,0.00002722,0.000009487,0.000009487,0.00002722,0.000009487,0.000009487,0.0000804,0.000009487,0.0001513,0.0882,0.00004495,0.00001835,0.002297,0.0004439,0.00001835,0.0003286,0.07799,0.000009487,0.000009487,0.00009813,0.0003198,0.00002722,0.0001336,0.00003608,0.0492,0.00005381,0.00002722,0.00006267,0.00001835,0.0212,0.000009487,0.0001956,0.00002722,0.00001835,0.00001835,0.00002722,0.00006267,0.000009487,0.00003608,0.07555,0.00001835,0.07677,0.00001835,0.00001835,0.000009487,0.004442,0.1362,0.07252,0.000009487,0.0007896,0.000009487,0.000009487,0.00001835,0.00001835,0.00001835,0.00008927,0.000009487,0.00001835,0.000009487,0.00003608,0.000009487,0.000009487,0.0003641,0.0002754,0.000009487,0.0001602,0.00001835,0.0003729,0.00001835,0.000009487,0.000009487,0.00002722,0.02867,0.000009487,0.0003286,0.003511,0.000009487,0.000009487,0.04081,0.0000804,0.000009487,0.0005059,0.01248
8-azaguanine,MCF7,0.0000262,0.00003083,0.2176,0.00005965,0.1509,0.00005965,0.00003083,0.00003083,0.0001173,0.0006359,0.000463,0.00003083,0.00003083,0.00005965,0.00003083,0.0002037,0.0001173,0.00005965,0.0006935,0.00003083,0.00003083,0.00003083,0.00003083,0.00003083,0.00003083,0.00008846,0.00003083,0.0002325,0.00005965,0.00003083,0.0001173,0.00008846,0.0001173,0.00005965,0.00005965,0.00003083,0.00003083,0.00003083,0.00003083,0.00005965,0.00003083,0.00003083,0.1438,0.04962,0.00003083,0.002048,0.00003083,0.0001749,0.00003083,0.2548,0.00003083,0.00005965,0.00003083,0.00003083,0.00003083,0.00008846,0.0001461,0.0004342,0.00003083,0.00005965,0.00003083,0.00003083,0.00003083,0.009568,0.09145,0.00003083,0.00003083,0.01239,0.0003478,0.00003083,0.00008846,0.00003083,0.00003083,0.01637,0.00003083,0.00005965,0.00003083,0.00008846,0.00003083,0.00003083,0.00003083,0.00003083,0.0001173,0.00005965,0.00003083,0.00003083,0.01268,0.00005965,0.00003083,0.00003083,0.03193,0.00003083,0.00003083,0.00003083,0.00008846,0.00003083,0.00005965,0.00003083,0.00003083,0.00003083,0.00003083
acetylsalicylic acid,HL60,0.0001,0.000125,0.00003287,0.00003287,0.00003287,0.001446,0.0001557,0.00003287,0.00003287,0.00003287,0.0001557,0.00003287,0.04073,0.000555,0.06042,0.001446,0.00003287,0.01819,0.00003287,0.00006359,0.00006359,0.009555,0.000555,0.00077,0.00003287,0.00003287,0.00003287,0.00003287,0.0003707,0.000125,0.00003287,0.00006359,0.0001557,0.00003287,0.0012,0.109,0.0002172,0.0005243,0.0004015,0.00006359,0.0008622,0.00003287,0.00003287,0.00003287,0.4118,0.00003287,0.00003287,0.00003287,0.0003707,0.0000943,0.009647,0.001384,0.0004629,0.0006165,0.0004936,0.00003287,0.00003287,0.00003287,0.00003287,0.00006359,0.00003287,0.185,0.00006359,0.000125,0.00003287,0.00003287,0.02454,0.00003287,0.002091,0.000555,0.001077,0.01149,0.00006359,0.00003287,0.00003287,0.00003287,0.00003287,0.000125,0.0000943,0.0005857,0.0002479,0.0001864,0.00003287,0.0006165,0.00003287,0.00003287,0.00003287,0.00003287,0.09384,0.00003287,0.00003287,0.00006359,0.00006359,0.000125,0.00006359,0.00003287,0.0000943,0.00003287,0.005254,0.00006359,0.00006359
acetylsalicylic acid,PC3,0.0001,0.0003812,0.0003812,0.0003812,0.00145,0.1229,0.0003812,0.0003812,0.0003812,0.0007375,0.0003812,0.0003812,0.00145,0.0003812,0.0003812,0.0003812,0.001094,0.0003812,0.2398,0.0003812,0.005369,0.0003812,0.0003812,0.0003812,0.001094,0.0003812,0.001806,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0007375,0.0003812,0.0003812,0.00145,0.003944,0.0003812,0.0003812,0.001094,0.0003812,0.0003812,0.0003812,0.002162,0.0007375,0.0003812,0.001094,0.0003812,0.0043,0.0003812,0.0003812,0.0007375,0.001094,0.0003812,0.0003812,0.0003812,0.06237,0.0007375,0.001806,0.0003812,0.0007375,0.0003812,0.0007375,0.0003812,0.0003812,0.00145,0.00145,0.002875,0.4931,0.0003812,0.0003812,0.0003812,0.0007375,0.0003812,0.001094,0.0007375,0.0003812,0.01143,0.0003812,0.001806,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0007375,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812,0.0003812
acetylsalicylic acid,MCF7,0.0001,0.000582,0.001144,0.001988,0.0003009,0.001144,0.0003009,0.0003009,0.000582,0.0003009,0.000582,0.000582,0.000582,0.004518,0.0003009,0.001707,0.000582,0.0003009,0.00508,0.01014,0.0003009,0.0003009,0.0008631,0.001144,0.008735,0.05372,0.001988,0.3146,0.0003009,0.000582,0.0003009,0.009578,0.001707,0.0003009,0.004237,0.0003009,0.0003009,0.0003009,0.005642,0.0003009,0.003393,0.003112,0.002269,0.0003009,0.0003009,0.003393,0.001144,0.000582,0.0003009,0.0003009,0.0008631,0.01098,0.000582,0.0003009,0.0008631,0.001707,0.3503,0.0003009,0.0003009,0.001425,0.01183,0.001144,0.001707,0.000582,0.000582,0.006486,0.0003009,0.003393,0.0003009,0.0003009,0.001425,0.0003009,0.01239,0.0003009,0.01098,0.002269,0.000582,0.0003009,0.0003009,0.00255,0.001144,0.08492,0.0008631,0.001425,0.001144,0.000582,0.007891,0.006486,0.001988,0.0008631,0.0008631,0.0003009,0.001144,0.0003009,0.0003009,0.003112,0.001988,0.0008631,0.004237,0.001425,0.0008631
aconitine,MCF7,0.0000062,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.03866,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.04503,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.09598,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.03229,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.02592,0.006816,0.006816,0.01318,0.006816,0.006816,0.006816,0.006816,0.006816,0.06413,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.03866,0.006816,0.02592,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816
aconitine,PC3,0.0000062,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.3675,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.02449,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.03415,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01966,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.01483,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01483,0.005169,0.005169,0.01966,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01966,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169
allantoin,MCF7,0.0000252,0.0009426,0.0003286,0.0003286,0.0003286,0.0003286,0.0006356,0.0003286,0.0003286,0.0006356,0.0003286,0.0003286,0.2745,0.003092,0.2797,0.0006356,0.0003286,0.001557,0.0003286,0.0003286,0.0003286,0.004013,0.01046,0.0009426,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.16,0.0003286,0.0003286,0.001557,0.0003286,0.0006356,0.0003286,0.00125,0.0003286,0.0009426,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.2097,0.0003286,0.0003286,0.0003286,0.00125,0.0003286,0.0006356,0.0003286,0.0006356,0.0003286,0.0003286,0.001557,0.0003286,0.005855,0.0003286,0.0003286,0.0003286,0.0003286,0.0006356,0.0003286,0.0009426,0.0003286,0.0006356,0.0003286,0.0003286,0.0003286,0.0006356,0.0006356,0.003399,0.001557,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.0003286,0.004013,0.001864,0.0003286,0.0006356,0.0003286,0.0003286,0.0006356,0.0003286,0.0003286,0.00125,0.0003286,0.0003286,0.0003286,0.0006356
allantoin,HL60,0.0000252,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01966,0.005169,0.05347,0.02449,0.1453,0.005169,0.005169,0.08729,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.01,0.005169,0.005169,0.005169,0.01483,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.05831,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.05347,0.005169,0.04381,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169
